"","cell_type","4-B00-15661-B","4-B04-23636-B","4-B05-15288-B","4-B06-00420","4-B16-11432","4-B20-21840-A2","4-B19-09868-A4","12-B17-28608-A1","3-B10-97","3-B10-33571","3-B10-35826","3-B11-25341","3-B12-476","3-B12-3343","3-B12-28752","3-B14-20920","3-B16-37292","3-B16-38017","3-B16-39751","3-B17-27564","3-B19-11332","3-B20-12105","3-B21-216","3-B21-30542","3-B21-18652","3-B21-21696","14-B03-22923-B","14-B13-29662-2","14-B16-31114-1","14-B17-34271-A1","14-B19-32346-A1","14-B20-18238-A1","14-B23-14912-A3","3-B11-24752-N","3-B15-23222-N","3-B16-38017-N","5-B16-38017-N","18-B23-21844","18-B22-30256-A1N","18-B23-21893-N","18-B22-27552","18-B23-18600","5-B21-30945-A1","5-B19-33807-A5","18-B23-21875","18-B15-16660","18-E23-575","18-B23-15669-A1","14-B18-16129-A1","14-B20-22458-A1","14-B17-02714-10"
"1","B cell",0.312950783268038,0.257475705776141,0.202204278587342,0.230745444717961,0.258503311432499,0.383901637711284,0.289469657235505,0.427403374255599,0.29812839738799,0.359722690433677,0.264898908587059,0.899546872304413,0.331984643834182,0.343665072597331,0.187987349532903,0.354058196216216,0.211032914655693,0.27618666543228,0.245793777178544,0.217675582171166,0.330453109930562,0.49552042332465,0.439332870203458,0.240234911560826,0.213748888928996,0.252116996352234,0.434878578544344,0.101927107025532,0.83005766087414,0.584127077414454,0.56734755407287,0.823987438064018,0.280146112338179,0.276153664024841,0,0.0533410562012542,0.0232621859407061,0.310111277445673,0.00852297260222095,0.000343157075646793,0.426622257677623,0.197200002579411,0.968440286191116,0.591829234408522,0.212095938160763,0.874421242312085,0.4242450700549,0.185628162098209,0.46112062139124,0.451382783390976,0.879322781449219
"2","Macrophage M1",0.0667864584222643,0,0.0388275052569082,0,0.00599005606174478,0,0.0514414933601697,0,0.0424188107037641,0.0837400014660911,0.000989263434134322,0.0275337084325019,0.0298151369227585,0.0400610501632504,0.0206070006470777,0.0413447895317282,0.100809833471293,0,0.0221425121429133,0,0,0.0183876131276975,0.00119216252468954,0,0,0.00765609415282448,0.00353806004196432,0.0189371104418739,0,0.0187279863180625,0.0064664168327203,0,0.0361615215813277,0.0437184988152872,0.00182668118139329,0.0223629180224583,0.0248024223288769,0.0443961387391841,0,0.0417130801719426,0,0,0.0121429881081096,0,0.0314222056455996,0,0.00219857165514304,0.0265493383861684,0.027665824693945,0.0501316374982119,0
"3","Macrophage M2",0.109013610855236,0.434752383652769,0,0.372279588526093,0.138965163038152,0.431445800590949,0.199321442616814,0.572596625744401,0.0385025178429804,0.10943261306927,0.149491044223814,0.0484590511311666,0.0440839681371529,0.0238257541888646,0.789907198494191,0.035463901699837,0.094729242679133,0.668196845127786,0.0881441876176058,0.39113220837153,0.669546890069438,0.240652232631502,0.0795853766497169,0.264242424846048,0.110639030158055,0.158091063259781,0,0.0627779634242741,0.0492995915039853,0.0361158659819482,0.136850453862277,0.0707980653718771,0.124157807599237,0.0884872970000519,0.0707741969372471,0.517816536062126,0.769780503114926,0.169908162123996,0.173855897427597,0.609367563031095,0.518774553435224,0.224935095200712,0.0194167257007749,0.120119354597664,0.164387076228415,0.125578757687915,0,0.0946322757369497,0.017096845979914,0.0739820893140412,0.12067721855078
"4","Monocyte",0.0891898166131709,0.137979350044141,0,0.130008122549358,0.0658193875458162,0.0681859839952477,0.0252646030358686,0,0,0,0.0833187664535686,0,0.0144670967796694,0,0,0.00978697899325063,0,0.0556164894399337,0.0188324734896118,0.103047920850147,0,0.0329329497892502,0.0410932760412507,0.0731446158093961,0.0206708325445844,0.0223650947076532,0,0.0217122172124282,0.0246746137850553,0,0.0561283580513331,0,0,0.0377572990803375,0.185495515118363,0.0285563661501565,0.047782816163472,0.0256880704355542,0.152710006486191,0.084866563547094,0.0428655689231585,0.0713738823529078,0,0,0.0436714662542142,0,0,0.0679760059846081,0,0,0
"5","Neutrophil",0,0,0.0299727861393095,0,0,0,0,0,0,0,0,0,0.018489923122362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122890861807173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109368246135034,0.0206498465214846,0
"6","NK cell",0.0109272625827822,0.00110744101807858,0.0317506662265629,0.0345960415643616,0.0130662454282957,0.0116878650786911,0.0360209049359613,0,0,0.00855966192360566,0,0,0,0.00681520068379542,0.00149845132582818,0,0.0493509740029546,0,0,0.00652939477866012,0,0,0,0.00426987557529676,0,0.044706801101665,0,0.0232416497492385,0,0.015891220793435,0,0,0,0.0362794563821251,0.0929470110564539,0.0175091083063129,0.015619027967138,0.00440003511643837,0.0571547282847172,0.104477825585736,0,0.0100415801089426,0,0.00580327514312696,0.00649802644769135,0,0,0.00114516506487899,0,0,0
"7","T cell CD4+ (non-regulatory)",0,0.079893190415432,0,0,0,0,0,0,0,0,0,0,0.243998671397413,0,0,0,0,0,0,0.0761507720717373,0,0,0,0,0.549653702110206,0,0,0.230303928041211,0,0,0,0,0,0,0,0,0,0,0,0,0.0117376199639942,0.127615692400482,0,0.225533213965535,0.0888019228096469,0,0,0,0,0,0
"8","T cell CD8+",0.0379654426555115,0,0.00338554051348679,0.0771858792274406,0,0,0,0,0,0.0269306753301016,0,0,0,0,0,0,0.0303622366194498,0,0,0.0133051070699631,0,0,0,0,0,0,0,0.0700030009776775,0,0,0,0,0,0,0,0.00712203254082195,0,0,0.000776618004732111,0,0,0,0,0,0.0101876961055718,0,0,0.00500310248902335,0,0,0
"9","T cell regulatory (Tregs)",0.0417583605374322,0.00898555681962719,0.0188928223257534,0.133073092315488,0.000694848700892196,0,0,0,0,0,0.110496690156544,0,0.0193802651770278,0,0,0,0.016633001900207,0,0.035156399218134,0.0854984097943486,0,0,0,0,0.0503300982533872,0,0,0.0472724670366858,0,0,0,0,0,0,0,0,0,0.0410697434124775,0,0,0,0.0093929340727097,0,0.0567149218851515,0.0188730195937678,0,0,0.105832493527014,0,0,0
"10","Myeloid dendritic cell",0.00494079383764024,0,0.0248862453385012,0,0,0,0,0,0.02228868275269,0,0.0894680314618376,0.0244603681319183,0,0.0473668784896077,0,0.0339497294907358,0,0,0.149773408793536,0,0,0,0.00164503213336129,0,0,0,0,0,0.0788225267691506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173523609600721,0
"11","uncharacterized cell",0.326467471227924,0.0798063722738107,0.650080155612136,0.0221118310992989,0.516960987792599,0.104778712623828,0.398481898815681,0,0.598661591312575,0.411614357777254,0.301337295683043,0,0.297780294629435,0.538266043877151,0,0.525396404068233,0.49708179667127,0,0.440157241559655,0.106660604892447,2.22044604925031e-16,0.212506781126901,0.437151282447524,0.418108172208432,0.0549574480047717,0.515063950425842,0.549294275232974,0.423824556091079,0.0171456070676692,0.3451378494921,0.2332072171808,0.105214496564105,0.559534558481257,0.517603784697357,0.648956595706543,0.35329198271687,0.118753044484882,0.404426572726677,0.606979777194541,0.159231810588485,0,0.359440813284835,0,0,0.424062648754331,0,0.573556358289957,0.513233456713149,0.483179883321398,0.230330033674566,0
